T,nu,rho,N0,a,b,w0,trajectory_path,frequency_path,rmse_D,rmse_Dw,rmse_log_total
41,1.0,1.0,10000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=10000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=10000_a=0.167_b=0.71_w0=212313.dat,189287.74739765277,139890.3903912431,0.27972857882735375
41,1.0,1.0,40000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=40000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=40000_a=0.167_b=0.71_w0=212313.dat,31855.913664683987,21974.738420176927,0.09146398392786081
41,1.0,1.0,45000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=45000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=45000_a=0.167_b=0.71_w0=212313.dat,19079.08931053576,12496.759793634508,0.08683835799301631
41,1.0,1.0,45500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=45500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=45500_a=0.167_b=0.71_w0=212313.dat,18319.43935572811,11967.750584725603,0.0865494043640946
41,1.0,1.0,46000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=46000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=46000_a=0.167_b=0.71_w0=212313.dat,17741.73383856268,11612.173146220306,0.0863203884817368
41,1.0,1.0,46500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=46500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=46500_a=0.167_b=0.71_w0=212313.dat,17311.468718915792,11376.13770929308,0.08612713406220635
41,1.0,1.0,47000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=47000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=47000_a=0.167_b=0.71_w0=212313.dat,17071.240304195824,11282.766920246115,0.08598316643041853
41,1.0,1.0,47500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=47500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=47500_a=0.167_b=0.71_w0=212313.dat,16979.107382062226,11308.999227526721,0.08585705132643282
41,1.0,1.0,48000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=48000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=48000_a=0.167_b=0.71_w0=212313.dat,17065.815709517083,11471.397050490406,0.0857697244862117
41,1.0,1.0,48500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=48500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=48500_a=0.167_b=0.71_w0=212313.dat,17295.944920437276,11771.898930724814,0.08568256239998258
41,1.0,1.0,49000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=49000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=49000_a=0.167_b=0.71_w0=212313.dat,17727.29130752919,12208.608413336877,0.08563425447692705
41,1.0,1.0,49500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=49500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=49500_a=0.167_b=0.71_w0=212313.dat,18328.24418755381,12761.239182689118,0.08570047733315306
41,1.0,1.0,50000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=50000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=50000_a=0.167_b=0.71_w0=212313.dat,19019.801374709463,13408.81389405491,0.08571867088122354
41,1.0,1.0,50500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=50500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=50500_a=0.167_b=0.71_w0=212313.dat,19834.419250731797,14102.09421008809,0.08578080920299336
41,1.0,1.0,51000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=51000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=51000_a=0.167_b=0.71_w0=212313.dat,20730.104961591485,14860.995014237775,0.08584545200306015
41,1.0,1.0,51500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=51500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=51500_a=0.167_b=0.71_w0=212313.dat,21663.24052606627,15623.28798720679,0.08592302458647468
41,1.0,1.0,52000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=52000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=52000_a=0.167_b=0.71_w0=212313.dat,22705.074563942748,16457.531696265996,0.08602091854335343
41,1.0,1.0,52500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=52500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=52500_a=0.167_b=0.71_w0=212313.dat,23835.706624071376,17358.676430805433,0.08618303032794465
41,1.0,1.0,53000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=53000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=53000_a=0.167_b=0.71_w0=212313.dat,24902.415628123308,18197.08751575922,0.08630723079324515
41,1.0,1.0,53500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=53500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=53500_a=0.167_b=0.71_w0=212313.dat,26108.151967092577,19135.819415295497,0.08643042323530273
41,1.0,1.0,54000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=54000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=54000_a=0.167_b=0.71_w0=212313.dat,27201.521558287874,20006.248366372944,0.08664690621602476
41,1.0,1.0,54500,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=54500_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=54500_a=0.167_b=0.71_w0=212313.dat,28332.255892198205,20891.96588371233,0.08680732635829133
41,1.0,1.0,60000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=60000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=60000_a=0.167_b=0.71_w0=212313.dat,42508.224059562875,31593.74391542731,0.08994346525457095
41,1.0,1.0,70000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=70000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=70000_a=0.167_b=0.71_w0=212313.dat,68890.83273332381,51039.13923568657,0.09891972833868544
41,1.0,1.0,80000,0.167,0.71,212313,data_simulations/model_T=41_nu=1_rho=1_N0=80000_a=0.167_b=0.71_w0=212313.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=80000_a=0.167_b=0.71_w0=212313.dat,92773.08263557484,68498.54898159814,0.1091146124679354
