T,nu,rho,N0,a,b,w0,trajectory_path,frequency_path,rmse_D,rmse_Dw,rmse_log_total
41,1.0,1.0,70000,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=70000_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=70000_a=0.0545_b=1.33_w0=269781.dat,13794.015209176769,15789.023302319874,0.07263333704340998
41,1.0,1.0,80000,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=80000_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=80000_a=0.0545_b=1.33_w0=269781.dat,12411.827442484044,9787.910086632386,0.06897425755920253
41,1.0,1.0,90000,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=90000_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=90000_a=0.0545_b=1.33_w0=269781.dat,12437.352253265162,5631.47480038755,0.06700421545821898
41,1.0,1.0,95000,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=95000_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=95000_a=0.0545_b=1.33_w0=269781.dat,12867.509813720757,4865.663272155195,0.06632101588076793
41,1.0,1.0,95500,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=95500_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=95500_a=0.0545_b=1.33_w0=269781.dat,12917.71015794208,4862.041810206901,0.06629209902833677
41,1.0,1.0,96000,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=96000_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=96000_a=0.0545_b=1.33_w0=269781.dat,12974.472872775988,4865.554113027621,0.06622601165281992
41,1.0,1.0,96500,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=96500_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=96500_a=0.0545_b=1.33_w0=269781.dat,13034.589062168398,4878.4658128145165,0.06621258554456741
41,1.0,1.0,97000,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=97000_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=97000_a=0.0545_b=1.33_w0=269781.dat,13106.210222013075,4922.113130597468,0.06620792612065725
41,1.0,1.0,97500,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=97500_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=97500_a=0.0545_b=1.33_w0=269781.dat,13164.496637615886,4968.901518142617,0.06613714628571682
41,1.0,1.0,98000,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=98000_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=98000_a=0.0545_b=1.33_w0=269781.dat,13219.259158856066,5021.126736520399,0.06614370820485253
41,1.0,1.0,98500,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=98500_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=98500_a=0.0545_b=1.33_w0=269781.dat,13279.070383524595,5073.014369149766,0.06615489797644829
41,1.0,1.0,99000,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=99000_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=99000_a=0.0545_b=1.33_w0=269781.dat,13341.870834691812,5137.001600992548,0.06612806226271734
41,1.0,1.0,99500,0.0545,1.33,269781,data_simulations/model_T=41_nu=1_rho=1_N0=99500_a=0.0545_b=1.33_w0=269781.dat,data_simulations/n_model_T=41_nu=1_rho=1_N0=99500_a=0.0545_b=1.33_w0=269781.dat,13401.890153616392,5224.977329252252,0.06612008902633566
